Sun Apr 22 11:28:09 2018

Number of Points = 2995
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-8.812254	0.042654	0.595571	0.002170	0.462963
-8.996460	0.057376	0.600576	0.002205	0.462762
-8.334601	-0.267611	0.605581	0.002082	0.462629
-8.790055	-0.179390	0.610586	0.002166	0.462294
-9.129526	-0.079687	0.615590	0.002229	0.462152
-9.482505	-0.004306	0.620595	0.002295	0.461914
-9.323798	-0.097408	0.625600	0.002265	0.461835
-9.603422	0.017426	0.630605	0.002317	0.461821
-9.364049	-0.149500	0.635610	0.002272	0.461617
-9.566300	-0.111857	0.640614	0.002310	0.461464
-9.950723	-0.023193	0.645619	0.002381	0.461226
-10.372296	0.151223	0.650624	0.002459	0.461209
-10.328636	0.137345	0.655629	0.002451	0.461224
-10.059936	0.019333	0.660634	0.002401	0.461215
-9.809251	-0.150072	0.665638	0.002355	0.461018
-10.435429	0.077523	0.670643	0.002471	0.460893
-10.617154	0.104092	0.675648	0.002505	0.460732
-10.620195	0.053511	0.680653	0.002505	0.460568
-10.147600	-0.162632	0.685658	0.002417	0.460523
-10.631467	-0.039749	0.690662	0.002507	0.460258
-10.547887	-0.131394	0.695667	0.002491	0.460081
-10.683275	-0.126927	0.700672	0.002516	0.459912
-10.829499	-0.143913	0.705677	0.002543	0.459661
-11.192217	-0.046982	0.710682	0.002611	0.459477
-11.515236	0.060009	0.715686	0.002671	0.459380
-11.569936	0.067676	0.720691	0.002681	0.459331
-11.222092	-0.077556	0.725696	0.002616	0.459342
-11.690649	0.072731	0.730701	0.002703	0.459184
-11.796933	0.073093	0.735706	0.002723	0.459042
-11.804940	0.072791	0.740710	0.002724	0.459031
-11.489419	-0.102185	0.745715	0.002665	0.458903
-12.182665	0.136728	0.750720	0.002794	0.458722
-12.263294	0.174937	0.755725	0.002809	0.458735
-11.943079	0.017367	0.760730	0.002749	0.458669
-11.756260	-0.147587	0.765734	0.002715	0.458399
-12.254311	-0.029755	0.770739	0.002807	0.458097
-12.541794	0.097842	0.775744	0.002860	0.458113
-12.574657	0.037622	0.780749	0.002866	0.457877
-12.275913	-0.113899	0.785754	0.002811	0.457801
-12.473127	-0.132405	0.790758	0.002847	0.457474
-12.557160	-0.143624	0.795763	0.002863	0.457324
-12.812800	-0.082746	0.800768	0.002910	0.457171
-12.801941	-0.176179	0.805773	0.002908	0.456888
