Sun Apr 22 11:28:09 2018

Number of Points = 2995
Depth (nm)	Load (µN)	Time (s)	Depth (V)	Load (V)
-1.520675	-0.100488	4.149952	0.000745	0.472735
-1.207434	-0.234911	4.159949	0.000686	0.472735
-1.378041	-0.163760	4.169946	0.000718	0.472731
-1.200101	-0.173532	4.179942	0.000684	0.472937
-1.332451	-0.098478	4.189939	0.000709	0.472995
-1.266739	-0.111755	4.199936	0.000696	0.473042
-1.179683	-0.075911	4.209933	0.000680	0.473269
-0.676121	-0.320788	4.219930	0.000586	0.473178
-1.088380	-0.188969	4.229926	0.000663	0.473043
-0.857176	-0.256609	4.239923	0.000620	0.473140
-0.738822	-0.340409	4.249920	0.000597	0.473039
-1.012990	-0.218128	4.259917	0.000648	0.473057
-0.973670	-0.134205	4.269914	0.000641	0.473369
-0.817386	-0.193352	4.279910	0.000611	0.473394
-0.979064	-0.052808	4.289907	0.000641	0.473615
-0.590131	-0.201682	4.299904	0.000569	0.473670
-0.979374	0.025635	4.309901	0.000641	0.473860
-0.372443	-0.196361	4.319898	0.000528	0.473975
-0.265779	-0.242929	4.329894	0.000508	0.473974
-0.436479	-0.169880	4.339891	0.000539	0.473975
-0.430669	-0.174371	4.349888	0.000538	0.473971
-0.530782	-0.131733	4.359885	0.000556	0.473972
-0.599721	-0.005372	4.369882	0.000569	0.474272
-0.202764	-0.103222	4.379878	0.000495	0.474494
-0.450404	-0.002472	4.389875	0.000541	0.474480
-0.264797	0.019211	4.399872	0.000506	0.474791
0.011482	-0.101702	4.409869	0.000455	0.474784
-0.100025	-0.023909	4.419866	0.000475	0.474878
-0.088463	-0.024378	4.429862	0.000473	0.474893
0.068500	-0.091400	4.439859	0.000443	0.474894
0.102607	-0.106741	4.449856	0.000437	0.474893
0.323521	-0.200782	4.459853	0.000396	0.474896
0.036160	-0.058821	4.469850	0.000449	0.474956
0.389906	-0.128492	4.479846	0.000383	0.475208
0.256470	-0.104789	4.489843	0.000407	0.475107
0.145977	-0.025704	4.499840	0.000428	0.475206
0.428490	-0.135177	4.509837	0.000375	0.475242
0.452171	-0.081337	4.519834	0.000371	0.475440
0.464116	-0.062777	4.529830	0.000368	0.475514
0.643186	-0.139717	4.539827	0.000335	0.475514
0.643872	-0.140398	4.549824	0.000334	0.475514
0.487854	-0.074342	4.559821	0.000363	0.475514
0.550479	-0.027820	4.569818	0.000351	0.475740
0.601635	-0.018292	4.579814	0.000342	0.475837
0.750129	-0.039085	4.589811	0.000314	0.475970
0.720981	0.033455	4.599808	0.000319	0.476155
0.805873	-0.004202	4.609805	0.000303	0.476152
0.976619	0.019292	4.619802	0.000271	0.476449
0.897817	0.055805	4.629798	0.000285	0.476459
1.053203	-0.010413	4.639795	0.000256	0.476461
0.982570	0.032291	4.649792	0.000269	0.476501
1.059742	0.085464	4.659789	0.000255	0.476766
1.010638	0.109710	4.669786	0.000264	0.476778
0.989664	0.219648	4.679782	0.000267	0.477088
1.198919	0.169114	4.689779	0.000228	0.477208
1.215708	0.221949	4.699776	0.000225	0.477393
1.279372	0.226008	4.709773	0.000213	0.477490
1.371103	0.256425	4.719770	0.000196	0.477704
1.444445	0.224899	4.729766	0.000182	0.477705
1.449317	0.270799	4.739763	0.000181	0.477853
1.449836	0.324225	4.749760	0.000180	0.478018
1.405111	0.396061	4.759757	0.000188	0.478181
1.496289	0.409830	4.769754	0.000171	0.478343
1.497062	0.505953	4.779750	0.000171	0.478639
1.654028	0.467542	4.789747	0.000142	0.478727
1.616715	0.554466	4.799744	0.000148	0.478945
1.659482	0.627452	4.809741	0.000140	0.479225
1.697789	0.674630	4.819738	0.000133	0.479419
1.721338	0.724719	4.829734	0.000128	0.479604
1.652820	0.877219	4.839731	0.000141	0.479980
1.685815	0.970589	4.849728	0.000134	0.480309
1.785583	1.037398	4.859725	0.000116	0.480642
1.834078	1.112872	4.869722	0.000106	0.480936
1.955335	1.162025	4.879718	0.000084	0.481244
1.971694	1.242999	4.889715	0.000080	0.481512
2.049028	1.292984	4.899712	0.000066	0.481765
2.001026	1.420668	4.909709	0.000075	0.482091
2.109456	1.478509	4.919706	0.000054	0.482407
2.155814	1.557202	4.929702	0.000045	0.482707
2.133789	1.686329	4.939699	0.000049	0.483070
2.513972	2.941608	4.949696	-0.000022	0.487337

4.231255	9.065270	4.954701	-0.000342	0.507465
6.259102	18.335491	4.959706	-0.000721	0.535832
8.201909	29.317662	4.964710	-0.001085	0.567100
10.093732	40.744456	4.969715	-0.001439	0.597761
11.967255	52.143490	4.974720	-0.001789	0.626840
13.385266	63.638871	4.979725	-0.002055	0.654408
15.088171	74.909730	4.984730	-0.002374	0.680637
16.263028	86.316060	4.989734	-0.002595	0.705707
17.519112	97.548347	4.994739	-0.002830	0.729635
18.880942	108.768807	4.999744	-0.003086	0.752866
20.046608	119.995284	5.004749	-0.003305	0.775254
21.201724	131.218656	5.009754	-0.003522	0.796999
22.152445	142.399053	5.014758	-0.003700	0.817934
23.177543	153.559983	5.019763	-0.003893	0.838365
24.265491	164.697016	5.024768	-0.004098	0.858314
25.363202	175.830792	5.029773	-0.004304	0.877811
26.334377	186.995599	5.034778	-0.004487	0.896846
27.199650	198.134272	5.039782	-0.004650	0.915371
28.055561	209.228898	5.044787	-0.004811	0.933453
28.787026	220.391943	5.049792	-0.004949	0.951216
29.656210	231.444650	5.054797	-0.005113	0.968573
30.567481	242.546036	5.059802	-0.005284	0.985722
31.421309	253.648802	5.064806	-0.005445	1.002543
32.152544	264.744706	5.069811	-0.005583	1.019003
32.879608	275.844449	5.074816	-0.005721	1.035203
33.533211	286.934172	5.079821	-0.005844	1.051097
34.393584	297.973772	5.084826	-0.006007	1.066803
34.965092	309.103590	5.089830	-0.006115	1.082239
35.725766	320.131392	5.094835	-0.006259	1.097428
36.231803	331.254048	5.099840	-0.006355	1.112393
37.095309	342.255851	5.104845	-0.006517	1.127195
37.777204	353.389689	5.109850	-0.006646	1.141877
38.346338	364.406149	5.114854	-0.006754	1.156165
39.061513	375.460729	5.119859	-0.006889	1.170401
39.767664	386.559118	5.124864	-0.007023	1.184515
40.315444	397.608998	5.129869	-0.007127	1.198323
40.932075	408.644106	5.134874	-0.007244	1.211990
41.617395	419.737008	5.139878	-0.007373	1.225607
42.108489	430.761982	5.144883	-0.007467	1.238899
42.859376	441.808528	5.149888	-0.007608	1.252200
43.363684	452.872369	5.154893	-0.007704	1.265263
43.850154	463.953914	5.159898	-0.007797	1.278204
44.606103	474.924899	5.164902	-0.007939	1.291016
45.221296	486.039191	5.169907	-0.008056	1.303796
45.764984	497.068486	5.174912	-0.008159	1.316325
46.394340	508.082541	5.179917	-0.008278	1.328758
46.865823	519.152493	5.184922	-0.008368	1.341065
47.597401	530.203388	5.189926	-0.008506	1.353355
48.007622	541.240356	5.194931	-0.008585	1.365378
48.499520	552.271397	5.199936	-0.008678	1.377324
49.078624	563.313858	5.204941	-0.008788	1.389218
49.629123	574.349801	5.209946	-0.008893	1.400991
50.211750	585.377940	5.214950	-0.009003	1.412671
50.847626	596.443355	5.219955	-0.009123	1.424315
51.171615	607.489727	5.224960	-0.009186	1.435715
51.802065	618.481792	5.229965	-0.009305	1.447098
52.402765	629.537801	5.234970	-0.009419	1.458442
52.816227	640.596417	5.239974	-0.009498	1.469626
53.388602	651.595188	5.244979	-0.009606	1.480729
53.945722	662.637983	5.249984	-0.009712	1.491787
54.396435	673.701619	5.254989	-0.009798	1.502741
54.992250	684.702856	5.259994	-0.009911	1.513612
55.522150	695.734553	5.264998	-0.010012	1.524409
55.963118	706.796983	5.270003	-0.010096	1.535125
56.620371	717.816891	5.275008	-0.010220	1.545809
56.927404	728.855427	5.280013	-0.010279	1.556303
57.474705	739.868757	5.285018	-0.010383	1.566794
57.885385	750.912291	5.290022	-0.010462	1.577192
58.410744	761.943020	5.295027	-0.010562	1.587552
58.948924	772.955403	5.300032	-0.010664	1.597833
59.521382	783.990376	5.305037	-0.010772	1.608081
59.993083	795.051585	5.310042	-0.010862	1.618251
60.694738	806.029162	5.315046	-0.010995	1.628365
61.016772	817.088871	5.320051	-0.011057	1.638353
61.435681	828.127726	5.325056	-0.011137	1.648296
61.938210	839.126110	5.330061	-0.011232	1.658174
62.526562	850.177965	5.335066	-0.011344	1.668070
62.847507	861.197207	5.340070	-0.011406	1.677785
63.518574	872.215198	5.345075	-0.011532	1.687565
63.970722	883.266555	5.350080	-0.011619	1.697242
64.452882	894.282596	5.355085	-0.011710	1.706843
64.824392	905.290157	5.360090	-0.011782	1.716345
65.357138	916.345514	5.365094	-0.011883	1.725890
65.808115	927.346387	5.370099	-0.011969	1.735309
66.417106	938.385313	5.375104	-0.012084	1.744761
66.615258	949.425678	5.380109	-0.012123	1.754027
67.133953	960.430551	5.385114	-0.012222	1.763320
67.381201	971.464586	5.390118	-0.012270	1.772499
68.006457	982.469184	5.395123	-0.012388	1.781731
68.447049	993.519989	5.400128	-0.012472	1.790892
68.981576	1004.512055	5.405133	-0.012574	1.799989
69.501120	1015.561393	5.410138	-0.012672	1.809081
69.932894	1026.602124	5.415142	-0.012755	1.818093
70.237575	1037.614894	5.420147	-0.012814	1.826997
70.720758	1048.645128	5.425152	-0.012906	1.835929
71.251202	1059.640629	5.430157	-0.013006	1.844804
71.689201	1070.693731	5.435162	-0.013090	1.853653
72.203412	1081.717655	5.440166	-0.013188	1.862460
72.822153	1092.731335	5.445171	-0.013305	1.871250
73.158422	1103.741212	5.450176	-0.013369	1.879909
73.604754	1114.777480	5.455181	-0.013455	1.888582
73.871126	1125.817896	5.460186	-0.013506	1.897164
74.404041	1136.821580	5.465190	-0.013607	1.905759
74.821088	1147.846693	5.470195	-0.013687	1.914297
75.137635	1158.857619	5.475200	-0.013748	1.922756
75.588769	1169.885740	5.480205	-0.013834	1.931231
76.020445	1180.912929	5.485210	-0.013916	1.939663
76.355656	1191.931453	5.490214	-0.013981	1.948022
76.919711	1202.954614	5.495219	-0.014088	1.956417
77.277071	1213.965445	5.500224	-0.014156	1.964706
77.788158	1224.990576	5.505229	-0.014254	1.973015
78.064100	1236.010329	5.510234	-0.014307	1.981217
78.648316	1247.045560	5.515238	-0.014418	1.989485
79.004451	1258.041978	5.520243	-0.014486	1.997625
79.491590	1269.084219	5.525248	-0.014579	2.005802
79.712041	1280.103815	5.530253	-0.014622	2.013854
80.227336	1291.137793	5.535258	-0.014720	2.021968
80.680003	1302.121962	5.540262	-0.014806	2.029995
81.120953	1313.141680	5.545267	-0.014890	2.038013
81.511566	1324.184045	5.550272	-0.014965	2.046001
81.933386	1335.196410	5.555277	-0.015046	2.053945
82.317251	1346.231164	5.560282	-0.015119	2.061864
82.813358	1357.237666	5.565286	-0.015213	2.069764
83.234195	1368.249649	5.570291	-0.015294	2.077616
83.492293	1379.287412	5.575296	-0.015344	2.085413
83.817848	1390.301538	5.580301	-0.015407	2.093182
84.219640	1401.313670	5.585306	-0.015483	2.100941
84.714214	1412.317966	5.590310	-0.015577	2.108692
85.271559	1423.361851	5.595315	-0.015683	2.116457
85.494889	1434.361832	5.600320	-0.015727	2.124075
86.026696	1445.391069	5.605325	-0.015828	2.131768
86.289481	1456.432111	5.610330	-0.015879	2.139369
86.918197	1467.412877	5.615334	-0.015998	2.146999
87.032801	1478.446888	5.620339	-0.016021	2.154503
87.464220	1489.469608	5.625344	-0.016104	2.162056
87.778207	1500.502738	5.630349	-0.016164	2.169559
88.168778	1511.500103	5.635354	-0.016239	2.177032
88.617136	1522.523806	5.640358	-0.016324	2.184511
89.178731	1533.520676	5.645363	-0.016431	2.191976
89.521138	1544.557628	5.650368	-0.016497	2.199386
89.906332	1555.587631	5.655373	-0.016570	2.206778
90.222343	1566.583518	5.660378	-0.016631	2.214104
90.617422	1577.625333	5.665382	-0.016707	2.221457
91.089209	1588.620099	5.670387	-0.016797	2.228773
91.398983	1599.655132	5.675392	-0.016856	2.236051
91.710109	1610.676435	5.680397	-0.016916	2.243297
92.110599	1621.685011	5.685402	-0.016993	2.250533
92.366690	1632.710066	5.690406	-0.017043	2.257721
92.736684	1643.724007	5.695411	-0.017114	2.264907
93.086074	1654.709911	5.700416	-0.017181	2.272046
93.646408	1665.748629	5.705421	-0.017287	2.279249
93.978144	1676.779230	5.710426	-0.017351	2.286368
94.413792	1687.782820	5.715430	-0.017434	2.293473
94.549926	1698.811230	5.720435	-0.017461	2.300499
95.070281	1709.822246	5.725440	-0.017560	2.307585
95.305073	1720.857654	5.730445	-0.017606	2.314596
95.744720	1731.842831	5.735450	-0.017690	2.321603
96.180763	1742.871092	5.740454	-0.017773	2.328615
96.518850	1753.899476	5.745459	-0.017838	2.335583
97.088355	1764.902723	5.750464	-0.017946	2.342569
97.399125	1775.938690	5.755469	-0.018006	2.349493
97.651831	1786.938082	5.760474	-0.018055	2.356360
97.980562	1797.949848	5.765478	-0.018118	2.363233
98.189934	1808.978424	5.770483	-0.018159	2.370069
98.771064	1820.005206	5.775488	-0.018269	2.376970
99.033960	1831.012487	5.780493	-0.018320	2.383765
99.433349	1842.032672	5.785498	-0.018397	2.390580
99.853416	1853.008324	5.790502	-0.018477	2.397353
100.244319	1864.081353	5.795507	-0.018552	2.404159
100.515055	1875.079711	5.800512	-0.018604	2.410874
100.862759	1886.078685	5.805517	-0.018671	2.417587
101.256689	1897.128606	5.810522	-0.018746	2.424323
101.498817	1908.114231	5.815526	-0.018794	2.430968
101.711714	1919.138939	5.820531	-0.018835	2.437611
102.200981	1930.151231	5.825536	-0.018928	2.444290
102.453107	1941.186626	5.830541	-0.018977	2.450912
102.996204	1952.193397	5.835546	-0.019081	2.457563
103.222455	1963.204922	5.840550	-0.019125	2.464129
103.577491	1974.224005	5.845555	-0.019193	2.470710
103.897713	1985.225769	5.850560	-0.019254	2.477256
104.411386	1996.275484	5.855565	-0.019352	2.483855
104.419532	2007.259352	5.860570	-0.019356	2.490288
104.736698	2018.293799	5.865574	-0.019417	2.496801
105.091466	2029.305728	5.870579	-0.019485	2.503291
105.517320	2040.311475	5.875584	-0.019566	2.509777
105.808456	2051.325775	5.880589	-0.019622	2.516221
106.275445	2062.311023	5.885594	-0.019711	2.522670
106.513670	2073.343599	5.890598	-0.019758	2.529081
106.855144	2084.369243	5.895603	-0.019823	2.535493
107.159579	2095.371930	5.900608	-0.019882	2.541868
107.485682	2106.375020	5.905613	-0.019945	2.548232
107.722510	2117.407387	5.910618	-0.019991	2.554578
108.294746	2128.420703	5.915622	-0.020100	2.560968
108.394046	2139.438938	5.920627	-0.020120	2.567245
109.019209	2150.498238	5.925632	-0.020239	2.573640
109.236311	2161.462108	5.930637	-0.020281	2.579880
109.643606	2172.486742	5.935642	-0.020359	2.586179
109.811757	2183.483233	5.940646	-0.020392	2.592397
110.199818	2194.519642	5.945651	-0.020467	2.598667
110.473772	2205.519951	5.950656	-0.020520	2.604879
110.880043	2216.551796	5.955661	-0.020597	2.611121
111.198794	2227.561949	5.960666	-0.020659	2.617318
111.597180	2238.582121	5.965670	-0.020735	2.623521
111.753294	2249.567472	5.970675	-0.020766	2.629642
112.046005	2260.607765	5.975680	-0.020822	2.635806
112.468624	2271.609239	5.980685	-0.020903	2.641961
112.935416	2282.653777	5.985690	-0.020992	2.648133
113.239661	2293.623058	5.990694	-0.021051	2.654218
113.557349	2304.673809	5.995699	-0.021112	2.660335
113.784373	2315.672590	6.000704	-0.021156	2.666392
114.226938	2326.690951	6.005709	-0.021241	2.672489
114.531512	2337.712404	6.010714	-0.021299	2.678546
114.937822	2348.717622	6.015718	-0.021377	2.684600
115.095237	2359.727960	6.020723	-0.021409	2.690595
115.498916	2370.768472	6.025728	-0.021486	2.696641
115.821101	2381.767115	6.030733	-0.021548	2.702634
116.340080	2392.777936	6.035738	-0.021646	2.708659
116.502559	2403.786576	6.040742	-0.021679	2.714601
116.861378	2414.827248	6.045747	-0.021747	2.720584
117.175012	2425.812589	6.050752	-0.021808	2.726516
117.532664	2436.852093	6.055757	-0.021877	2.732472
117.836190	2447.845873	6.060762	-0.021935	2.738380
118.065429	2458.872974	6.065766	-0.021980	2.744279
118.301394	2469.889254	6.070771	-0.022026	2.750161
118.816292	2480.900467	6.075776	-0.022124	2.756081
118.898139	2491.913070	6.080781	-0.022141	2.761906
119.320436	2502.934613	6.085786	-0.022222	2.767788
119.571550	2513.937600	6.090790	-0.022270	2.773616
119.983745	2524.961665	6.095795	-0.022349	2.779472
120.236471	2535.980142	6.100800	-0.022398	2.785284
120.578195	2546.984677	6.105805	-0.022464	2.791092
120.917166	2558.001586	6.110810	-0.022529	2.796894
121.255260	2569.002467	6.115814	-0.022594	2.802676
121.395495	2580.036448	6.120819	-0.022622	2.808426
121.763187	2591.043935	6.125824	-0.022693	2.814193
122.270458	2602.061550	6.130829	-0.022789	2.819979
122.542274	2613.088285	6.135834	-0.022842	2.825714
122.652193	2624.085569	6.140838	-0.022864	2.831392
123.042270	2635.085006	6.145843	-0.022939	2.837112
123.341170	2646.114608	6.150848	-0.022997	2.842818
123.880274	2657.133894	6.155853	-0.023099	2.848552
123.958695	2668.148145	6.160858	-0.023116	2.854188
124.242843	2679.159081	6.165862	-0.023171	2.859848
124.524478	2690.178344	6.170867	-0.023225	2.865501
125.006466	2701.190600	6.175872	-0.023317	2.871175
125.201395	2712.199801	6.180877	-0.023355	2.876784
125.500909	2723.218470	6.185882	-0.023413	2.882406
125.818053	2734.222448	6.190886	-0.023474	2.888013
126.265936	2745.247969	6.195891	-0.023560	2.893643
126.280798	2756.258068	6.200896	-0.023565	2.899178
126.756573	2767.278094	6.205901	-0.023655	2.904788
127.117596	2778.265568	6.210906	-0.023724	2.910351
127.416812	2789.306924	6.215910	-0.023782	2.915919
127.723413	2800.321414	6.220915	-0.023841	2.921464
128.100645	2811.324229	6.225920	-0.023913	2.927005
128.166803	2822.364519	6.230925	-0.023928	2.932500
128.639331	2833.352327	6.235930	-0.024018	2.938030
128.804781	2844.368695	6.240934	-0.024051	2.943509
129.221810	2855.384092	6.245939	-0.024130	2.949022
129.353428	2866.377276	6.250944	-0.024157	2.954464
129.913156	2877.418975	6.255949	-0.024263	2.959993
130.010418	2888.428587	6.260954	-0.024283	2.965417
130.322610	2899.452270	6.265958	-0.024344	2.970875
130.649306	2910.466648	6.270963	-0.024406	2.976320
130.994988	2921.461074	6.275968	-0.024473	2.981749
131.243298	2932.475271	6.280973	-0.024521	2.987161
131.436401	2943.487867	6.285978	-0.024559	2.992553
131.763038	2954.508868	6.290982	-0.024622	2.997962
132.111209	2965.533026	6.295987	-0.024689	3.003366
132.171413	2976.532173	6.300992	-0.024702	3.008700
132.658698	2987.559943	6.305997	-0.024795	3.014110
132.746725	2998.569605	6.311002	-0.024813	3.019434
133.196587	3009.583860	6.316006	-0.024899	3.024812
133.359877	3020.582164	6.321011	-0.024932	3.030125
133.814009	3031.602997	6.326016	-0.025018	3.035487
134.041503	3042.603386	6.331021	-0.025063	3.040792
134.384858	3053.657145	6.336026	-0.025129	3.046133
134.755004	3064.650760	6.341030	-0.025199	3.051440
134.992369	3075.656570	6.346035	-0.025246	3.056722
135.025662	3086.665210	6.351040	-0.025254	3.061963
135.478242	3097.676903	6.356045	-0.025340	3.067264
135.623795	3108.704237	6.361050	-0.025369	3.072514
135.991664	3119.718528	6.366054	-0.025440	3.077784
136.364800	3130.725850	6.371059	-0.025511	3.083043
136.688896	3141.743371	6.376064	-0.025574	3.088290
136.759806	3152.753192	6.381069	-0.025589	3.093484
137.089119	3163.773649	6.386074	-0.025653	3.098715
137.417171	3174.782241	6.391078	-0.025716	3.103932
137.772642	3185.813050	6.396083	-0.025784	3.109154
137.880997	3196.799449	6.401088	-0.025806	3.114308
138.240445	3207.800899	6.406093	-0.025875	3.119499
138.538903	3218.826452	6.411098	-0.025933	3.124684
138.848477	3229.871584	6.416102	-0.025992	3.129871
139.096059	3240.866323	6.421107	-0.026040	3.135016
139.495048	3251.873114	6.426112	-0.026117	3.140182
139.834799	3262.883502	6.431117	-0.026182	3.145332
140.110017	3273.905143	6.436122	-0.026235	3.150468
140.313312	3284.945085	6.441126	-0.026275	3.155593
140.785222	3295.906816	6.446131	-0.026365	3.160716
140.996379	3306.941124	6.451136	-0.026407	3.165823
141.276090	3317.982566	6.456141	-0.026461	3.170935
141.523424	3328.949471	6.461146	-0.026509	3.176001
141.884942	3339.992582	6.466150	-0.026578	3.181110
141.873298	3350.999828	6.471155	-0.026578	3.186137
142.342804	3362.032906	6.476160	-0.026667	3.191242
142.318163	3372.998047	6.481165	-0.026665	3.196233
142.748886	3384.040165	6.486170	-0.026747	3.201320
142.917347	3395.061825	6.491174	-0.026781	3.206349
143.352692	3406.059634	6.496179	-0.026864	3.211401
143.506242	3417.065521	6.501184	-0.026894	3.216405
143.689836	3428.090408	6.506189	-0.026931	3.221414
143.815477	3439.092509	6.511194	-0.026956	3.226397
144.221620	3450.135139	6.516198	-0.027034	3.231433
144.415222	3461.133802	6.521203	-0.027072	3.236408
144.792996	3472.132630	6.526208	-0.027144	3.241404
145.051181	3483.162269	6.531213	-0.027194	3.246388
145.468448	3494.190310	6.536218	-0.027274	3.251388
145.512749	3505.167790	6.541222	-0.027284	3.256301
146.026484	3516.201693	6.546227	-0.027382	3.261302
146.182866	3527.195232	6.551232	-0.027413	3.266224
146.604605	3538.223406	6.556237	-0.027494	3.271193
146.632790	3549.236984	6.561242	-0.027501	3.276090
147.016494	3560.248486	6.566246	-0.027575	3.281032
147.403354	3571.252684	6.571251	-0.027649	3.285962
147.721052	3582.293197	6.576256	-0.027710	3.290892
147.675401	3593.281172	6.581261	-0.027703	3.295737
148.086547	3604.291621	6.586266	-0.027782	3.300652
148.358275	3615.327349	6.591270	-0.027835	3.305551
148.543088	3626.327396	6.596275	-0.027871	3.310414
148.732243	3637.326016	6.601280	-0.027908	3.315269
149.083594	3648.358122	6.606285	-0.027976	3.320156
149.416389	3659.346581	6.611290	-0.028040	3.325013
149.798019	3670.426203	6.616294	-0.028113	3.329911
149.660248	3681.375251	6.621299	-0.028089	3.334669
150.076066	3692.409086	6.626304	-0.028169	3.339537
150.364810	3703.414964	6.631309	-0.028225	3.344367
150.598991	3714.431924	6.636314	-0.028270	3.349188
150.995771	3725.444923	6.641318	-0.028346	3.354022
151.357924	3736.456711	6.646323	-0.028416	3.358845
151.490161	3747.473151	6.651328	-0.028442	3.363629
151.877598	3758.490114	6.656333	-0.028517	3.368444
151.986681	3769.497407	6.661338	-0.028539	3.373207
152.350209	3780.510738	6.666342	-0.028609	3.378003
152.537659	3791.509531	6.671347	-0.028646	3.382760
152.822238	3802.549879	6.676352	-0.028701	3.387543
152.852743	3813.551746	6.681357	-0.028708	3.392266
153.305778	3824.553633	6.686362	-0.028795	3.397042
153.476655	3835.573144	6.691366	-0.028829	3.401779
153.686470	3846.597773	6.696371	-0.028870	3.406518
153.859444	3857.592037	6.701376	-0.028904	3.411231
154.144478	3868.609451	6.706381	-0.028959	3.415964
154.425870	3879.622318	6.711386	-0.029014	3.420687
154.875944	3890.660965	6.716390	-0.029099	3.425438
154.935722	3901.626234	6.721395	-0.029113	3.430097
155.412346	3912.663899	6.726400	-0.029203	3.434838
155.394535	3923.685953	6.731405	-0.029202	3.439498
155.786609	3934.696107	6.736410	-0.029277	3.444203
155.976985	3945.720631	6.741414	-0.029315	3.448879
156.218835	3956.702262	6.746419	-0.029362	3.453539
156.379337	3967.733234	6.751424	-0.029394	3.458201
156.774315	3978.751700	6.756429	-0.029469	3.462884
156.916662	3989.745013	6.761434	-0.029498	3.467516
157.238922	4000.761971	6.766438	-0.029560	3.472176
157.578193	4011.779661	6.771443	-0.029625	3.476831
157.853086	4022.798635	6.776448	-0.029678	3.481473
157.992059	4033.808584	6.781453	-0.029706	3.486086
158.271816	4044.816870	6.786458	-0.029760	3.490712
158.435462	4055.813217	6.791462	-0.029793	3.495310
158.809784	4066.841360	6.796467	-0.029865	3.499944
158.992167	4077.857457	6.801472	-0.029901	3.504541
159.187737	4088.868945	6.806477	-0.029939	3.509132
159.295264	4099.910911	6.811482	-0.029961	3.513718
159.727336	4110.942358	6.816486	-0.030044	3.518336
159.666967	4121.958579	6.821491	-0.030035	3.522877
160.101334	4132.977107	6.826496	-0.030118	3.527478
160.048035	4143.979536	6.831501	-0.030110	3.532003
160.628697	4154.995552	6.836506	-0.030220	3.536610
160.751336	4165.995360	6.841510	-0.030245	3.541144
160.984905	4177.020109	6.846515	-0.030290	3.545698
161.198628	4188.032729	6.851520	-0.030332	3.550238
161.669252	4199.023106	6.856525	-0.030422	3.554796
161.819603	4210.066053	6.861530	-0.030452	3.559328
162.141229	4221.074029	6.866534	-0.030514	3.563863
162.210210	4232.084419	6.871539	-0.030529	3.568360
162.458655	4243.108526	6.876544	-0.030577	3.572880
162.809699	4254.092426	6.881549	-0.030644	3.577391
163.115296	4265.113988	6.886554	-0.030703	3.581906
163.300958	4276.130250	6.891558	-0.030740	3.586397
163.606410	4287.139290	6.896563	-0.030799	3.590896
163.655852	4298.171271	6.901568	-0.030810	3.595365
163.933118	4309.151426	6.906573	-0.030864	3.599837
164.204835	4320.172778	6.911578	-0.030917	3.604319
164.535142	4331.222439	6.916582	-0.030980	3.608814
164.657718	4342.206427	6.921587	-0.031005	3.613251
164.948435	4353.220973	6.926592	-0.031061	3.617716
165.131606	4364.222874	6.931597	-0.031097	3.622156
165.370272	4375.253188	6.936602	-0.031144	3.626610
165.557125	4386.258747	6.941606	-0.031181	3.631041
165.842609	4397.272406	6.946611	-0.031236	3.635483
165.955993	4408.280297	6.951616	-0.031259	3.639896
166.424087	4419.294666	6.956621	-0.031348	3.644349
166.404483	4430.313538	6.961626	-0.031347	3.648739
166.808050	4441.320383	6.966630	-0.031424	3.653171
167.055683	4452.343431	6.971635	-0.031472	3.657584
167.270775	4463.337343	6.976640	-0.031514	3.661977
167.382903	4474.341655	6.981645	-0.031537	3.666356
167.708819	4485.388206	6.986650	-0.031600	3.670772
168.081673	4496.362140	6.991654	-0.031671	3.675160
168.101761	4507.393631	6.996659	-0.031677	3.679523
168.423976	4518.442276	7.001664	-0.031739	3.683924
168.533466	4529.421355	7.006669	-0.031762	3.688266
168.720160	4540.429546	7.011674	-0.031798	3.692624
169.187638	4551.457321	7.016678	-0.031887	3.697018
169.154113	4562.452693	7.021683	-0.031883	3.701335
169.513530	4573.458949	7.026688	-0.031952	3.705697
169.685286	4584.491012	7.031693	-0.031986	3.710042
170.132878	4595.492978	7.036698	-0.032072	3.714403
170.315982	4606.509570	7.041702	-0.032108	3.718733
170.621722	4617.533144	7.046707	-0.032167	3.723075
170.706568	4628.523158	7.051712	-0.032185	3.727372
170.752864	4639.553647	7.056717	-0.032195	3.731676
171.048001	4650.553707	7.061722	-0.032252	3.735993
171.288670	4661.575200	7.066726	-0.032299	3.740306
171.463782	4672.569114	7.071731	-0.032334	3.744596
171.652862	4683.604603	7.076736	-0.032371	3.748899
172.065787	4694.619327	7.081741	-0.032450	3.753215
172.323679	4705.613898	7.086746	-0.032500	3.757500
172.457043	4716.632061	7.091750	-0.032527	3.761774
172.710615	4727.643738	7.096755	-0.032576	3.766056
172.782550	4738.665220	7.101760	-0.032592	3.770315
173.240788	4749.684698	7.106765	-0.032679	3.774613
173.342859	4760.672915	7.111770	-0.032700	3.778853
173.612590	4771.698950	7.116774	-0.032753	3.783122
173.654054	4782.707522	7.121779	-0.032762	3.787353
173.936479	4793.723228	7.126784	-0.032817	3.791610
174.145957	4804.704038	7.131789	-0.032858	3.795840
174.221813	4815.766535	7.136794	-0.032874	3.800082
174.416733	4826.771659	7.141798	-0.032913	3.804310
174.801083	4837.767184	7.146803	-0.032986	3.808552
175.058393	4848.778697	7.151808	-0.033036	3.812780
175.405428	4859.798156	7.156813	-0.033103	3.817017
